id_mgn,latitude,longitude,site_id,snow_depth
640,80.05392833,-86.6935117,1,0.037
641,80.05394333,-86.6935317,1,0.034
642,80.05396,-86.69355,1,0.039
643,80.05397333,-86.6935416,1,0.067
644,80.05398333,-86.6935733,1,0.058
645,80.054,-86.6936083,1,0.068
646,80.054015,-86.6936567,1,0.11
647,80.054025,-86.6936967,1,0.079
648,80.05402833,-86.6936883,1,0.079
649,80.05405333,-86.6937034,1,0.116
650,80.05406,-86.69373,1,0.101
651,80.054075,-86.6937183,1,0.125
652,80.054085,-86.6937433,1,0.123
653,80.05410333,-86.6937516,1,0.141
654,80.05411667,-86.6937733,1,0.192
655,80.054125,-86.69378,1,0.218
656,80.05413167,-86.6938017,1,0.214
657,80.054145,-86.6938334,1,0.227
658,80.05416333,-86.6938733,1,0.236
659,80.05416833,-86.693875,1,0.208
660,80.05418666,-86.6939133,1,0.259
661,80.05420167,-86.69393,1,0.154
662,80.054215,-86.693955,1,0.096
663,80.05421833,-86.69393,1,0.124
664,80.05424667,-86.6939867,1,0.127
665,80.05424166,-86.6939734,1,0.116
666,80.05425,-86.6939867,1,0.11
667,80.054265,-86.6940134,1,0.071
668,80.05427666,-86.6940184,1,0.069
669,80.05428333,-86.6940233,1,0.088
670,80.05429667,-86.6940166,1,0.105
671,80.05431,-86.694045,1,0.094
672,80.05432167,-86.6940734,1,0.123
673,80.054335,-86.6940734,1,0.158
674,80.05434833,-86.694105,1,0.252
675,80.05436333,-86.694135,1,0.309
676,80.05437333,-86.6941667,1,0.382
677,80.05438167,-86.694175,1,0.358
678,80.05440167,-86.6941883,1,0.219
679,80.05440667,-86.6942133,1,0.28
680,80.05441333,-86.6941966,1,0.253
